Ativos
"""VERZ34F"","
"""VFCO34"","
"""VFCO34F"","
"""VISA34"","
"""VISA34F "","
"""VIVA3"","
"""VIVT3"","
"""VIVT3F"","
"""VIVT4"","
"""VIVT4F"","
"""VLID3"","
"""VLID3F"","
"""VLOE34"","
"""VLOE34F"","
"""VLYB34"","
"""VLYB34F"","
"""VRSN34"","
"""VRSN34F"","
"""VRTX34"","
"""VRTX34F"","
"""VVAR3"","
"""VVAR3F"","
"""W1AB34"","
"""W1AB34F"","
"""W1DA34"","
"""W1DA34F"","
"""W1DC34"","
"""W1DC34F"","
"""W1EC34"","
"""W1EC34F"","
"""W1EL34"","
"""W1EL34F"","
"""W1HR34"","
"""W1HR34F"","
"""W1LT34"","
"""W1LT34F"","
"""W1MB34"","
"""W1MB34F"","
"""W1MC34"","
"""W1MC34F"","
"""W1RK34"","
"""W1RK34F"","
"""W1YC34"","
"""W1YC34F"","
"""W1YN34"","
"""W1YN34F"","
"""WABC34"","
"""WABC34F"","
"""WALM34"","
"""WALM34F "","
"""WATC34"","
"""WATC34F"","
"""WEGE3"","
"""WEGE3F"","
"""WFCO34"","
"""WFCO34F "","
"""WGBA34"","
"""WGBA34F"","
"""WHRL3"","
"""WHRL3F"","
"""WHRL4"","
"""WHRL4F "","
"""WUNI34"","
"""WUNI34F"","
"""X1EL34"","
"""X1EL34F"","
"""X1LN34"","
"""X1LN34F"","
"""X1YL34"","
"""X1YL34F"","
"""XRAY34"","
"""XRAY34F"","
"""XRXB34"","
"""XRXB34F "","
"""YDUQ3"","
"""YUMR34"","
"""YUMR34F"","
"""Z1BH34"","
"""Z1BH34F"","
"""Z1IO34"","
"""Z1IO34F"","
"""Z1TS34"","
"""Z1TS34F"""
